-----------------------------------------------------------------------------------------------------------------------------------
g++ CC = g++ -mavx2 -O3                                                                              Intel i5-6500 (Skylake family)
-----------------------------------------------------------------------------------------------------------------------------------
=============================== SKINNY-ZOCB
Encryption Timing (cycles/byte)
 P_len/AD_len(bytes),         0,        15,        30,        45,        60,        75,        90,       105,       120,       135,       150,       165,       180,       195,       210,       225,       240,       255,       270,       285,       300,       315,       330,       345,       360,       375,       390,       405,       420,       435,       450,       465,       480,       495,       510,       525,       540,       555,       570,       585,       600,       615,       630,       645,       660,       675,       690,       705,       720,       735,       750,       765,       780,       795,       810,       825,       840,       855,       870,       885,       900,       915,       930,       945,       960,
                   0,   9699.00,   1302.63,    652.33,    435.00,    379.60,    303.80,    288.66,    247.54,    243.25,    216.13,    217.43,    197.63,    199.07,    183.71,    185.90,    173.48,    176.01,    165.65,    168.36,    159.51,    162.26,    154.62,    157.21,    150.39,    153.04,    146.98,    149.48,    143.96,    146.43,    141.33,    143.76,    139.12,    134.75,    137.10,    133.10,    135.38,    131.65,    133.82,    130.28,    132.44,    129.11,    131.20,    128.10,    130.05,    127.09,    129.03,    126.18,    128.09,    125.37,    127.20,    124.65,    126.40,    124.00,    125.70,    123.34,    124.99,    122.78,    124.35,    122.21,    123.78,    121.70,    123.21,    121.20,    119.28,    120.79,
                  16,    816.66,    739.18,    498.86,    376.15,    344.20,    287.29,    276.94,    242.50,    239.30,    215.54,    216.95,    198.77,    199.85,    185.86,    187.61,    175.97,    178.16,    168.20,    170.67,    162.23,    164.71,    157.29,    159.74,    153.07,    155.49,    149.56,    151.88,    146.48,    148.70,    143.79,    146.04,    141.53,    137.14,    139.46,    135.45,    137.60,    133.96,    136.00,    132.53,    134.53,    131.25,    133.21,    130.04,    132.00,    129.09,    130.93,    128.15,    129.92,    127.27,    129.04,    126.47,    128.15,    125.73,    127.34,    125.08,    126.64,    124.40,    125.96,    123.77,    125.29,    123.24,    124.70,    122.73,    120.79,    122.26,
                  32,    511.58,    348.45,    422.50,    340.74,    285.10,    275.10,    241.21,    238.36,    214.79,    214.81,    197.04,    199.40,    185.37,    187.17,    175.70,    177.80,    168.04,    170.33,    161.97,    164.35,    156.90,    159.54,    152.99,    155.35,    149.39,    151.74,    146.38,    148.62,    143.72,    145.92,    141.34,    143.59,    139.29,    135.37,    137.52,    133.84,    135.93,    132.44,    134.48,    131.22,    133.18,    130.12,    132.02,    129.10,    130.87,    128.15,    129.91,    127.24,    129.00,    126.47,    128.17,    125.76,    127.37,    124.99,    126.57,    124.39,    125.88,    123.76,    125.27,    123.21,    124.66,    122.71,    124.15,    122.23,    120.36,
                  48,    409.69,    312.38,    252.40,    317.62,    273.29,    240.28,    237.39,    214.05,    214.25,    196.56,    197.89,    183.91,    186.78,    175.37,    177.57,    167.84,    170.10,    161.94,    164.32,    156.87,    159.35,    152.84,    155.17,    149.28,    151.64,    146.27,    148.50,    143.58,    145.80,    141.29,    143.47,    139.28,    141.41,    137.50,    133.77,    135.82,    132.41,    134.46,    131.12,    133.11,    130.06,    131.91,    129.01,    130.83,    128.09,    129.83,    127.18,    128.93,    126.39,    128.07,    125.68,    127.30,    124.99,    126.55,    124.35,    125.88,    123.76,    125.27,    123.24,    124.72,    122.73,    124.16,    122.23,    123.60,    121.72,
                  64,    359.13,    290.80,    244.51,    210.91,    264.93,    236.47,    213.58,    213.54,    196.17,    197.48,    183.75,    185.64,    174.15,    177.32,    167.66,    170.10,    161.72,    164.01,    156.77,    159.19,    152.66,    155.04,    149.17,    151.54,    146.21,    148.53,    143.63,    145.87,    141.33,    143.46,    139.32,    141.38,    137.44,    139.55,    135.87,    132.40,    134.42,    131.24,    133.12,    130.09,    131.92,    129.06,    130.85,    128.11,    129.78,    127.25,    128.96,    126.49,    128.13,    125.69,    127.36,    125.04,    126.60,    124.44,    125.96,    123.81,    125.31,    123.26,    124.72,    122.77,    124.15,    122.22,    123.61,    121.82,    123.13,
                  80,    328.40,    276.42,    238.81,    210.06,    187.62,    233.43,    212.84,    195.65,    197.08,    183.27,    185.36,    173.96,    176.27,    166.72,    169.96,    161.48,    163.96,    156.72,    159.14,    152.58,    154.96,    149.01,    151.48,    146.10,    148.44,    143.56,    145.74,    141.23,    143.41,    139.22,    141.28,    137.40,    139.44,    135.84,    137.79,    134.37,    131.13,    133.08,    130.04,    131.92,    129.00,    130.81,    128.07,    129.78,    127.18,    128.88,    126.39,    128.05,    125.65,    127.28,    124.99,    126.52,    124.35,    125.88,    123.74,    125.27,    123.22,    124.65,    122.70,    124.16,    122.24,    123.58,    121.78,    123.11,    121.38,
                  96,    307.91,    266.27,    234.50,    209.56,    189.37,    172.92,    212.34,    196.82,    182.94,    185.00,    173.72,    176.04,    166.52,    168.85,    160.58,    163.89,    156.59,    159.02,    152.56,    154.90,    148.96,    151.30,    146.00,    148.34,    143.44,    145.68,    141.21,    143.38,    139.17,    141.26,    137.40,    139.41,    135.81,    137.79,    134.34,    136.28,    133.06,    129.93,    131.87,    128.95,    130.85,    128.10,    129.85,    127.16,    128.89,    126.38,    128.07,    125.63,    127.28,    124.97,    126.56,    124.36,    125.87,    123.76,    125.22,    123.22,    124.64,    122.68,    124.12,    122.21,    123.59,    121.76,    123.14,    121.37,    122.64,
                 112,    293.71,    258.65,    231.55,    209.37,    191.14,    175.90,    162.77,    197.39,    184.80,    173.67,    175.87,    166.38,    168.81,    160.53,    162.95,    155.78,    158.47,    151.92,    154.37,    148.52,    150.77,    146.02,    148.31,    143.42,    145.64,    141.17,    143.39,    139.17,    141.28,    137.40,    139.40,    135.85,    137.77,    134.40,    136.28,    133.12,    134.94,    131.90,    128.92,    130.83,    128.07,    129.79,    127.23,    128.93,    126.42,    128.08,    125.69,    127.29,    124.97,    126.57,    124.37,    125.87,    123.77,    125.26,    123.24,    124.67,    122.67,    124.07,    122.24,    123.61,    121.75,    123.09,    121.37,    122.66,    120.93,
                 128,    282.80,    252.87,    229.16,    209.08,    192.31,    178.21,    165.94,    155.15,    186.02,    175.54,    166.17,    168.67,    160.31,    162.89,    155.64,    158.02,    151.67,    154.26,    148.46,    150.86,    145.45,    147.70,    143.34,    145.54,    141.12,    143.25,    139.15,    141.20,    137.29,    139.40,    135.73,    137.77,    134.33,    136.27,    133.04,    134.90,    131.85,    133.66,    130.81,    128.05,    129.79,    127.21,    128.91,    126.44,    128.08,    125.68,    127.24,    124.98,    126.54,    124.35,    125.89,    123.78,    125.26,    123.24,    124.67,    122.71,    124.13,    122.21,    123.57,    121.78,    123.09,    121.35,    122.66,    120.96,    122.23,
                 144,    274.61,    248.50,    227.24,    209.22,    193.74,    180.52,    168.96,    158.72,    149.65,    177.35,    168.29,    160.27,    162.81,    155.55,    157.97,    151.57,    154.01,    148.30,    150.72,    145.54,    147.70,    142.92,    145.23,    140.74,    142.85,    138.76,    140.90,    136.98,    139.01,    135.40,    137.33,    134.01,    135.94,    132.73,    134.64,    131.57,    133.35,    130.50,    132.28,    129.55,    126.94,    128.69,    126.21,    127.88,    125.44,    127.03,    124.78,    126.36,    124.17,    125.69,    123.58,    125.06,    123.07,    124.50,    122.53,    123.95,    122.04,    123.45,    121.59,    122.92,    121.17,    122.44,    120.80,    122.08,    120.40,
